,user,text,favorite_count,retweet_count,create_at
0,WilliamsRuto,"In Embakasi, Nairobi County, for the 49th General Service Unit passing out parade. https://t.co/ZJ7Kirhce1",95,6,2023-01-12 11:47:46+00:00
1,WilliamsRuto,"A sense of safety and security is the foundation for the pursuit of all aspirations and the development of a truly free, open and democratic society. https://t.co/acEl50XZmr",114,9,2023-01-12 11:47:45+00:00
2,WilliamsRuto,We must rise to the challenge of securing the lives and property of all Kenyans. https://t.co/TpkEDTV6Zw,361,50,2023-01-12 11:47:45+00:00
3,WilliamsRuto,"General Service Unit Passing out Parade, Embakasi, Nairobi County. https://t.co/J09Wwv7eyX",974,117,2023-01-12 10:06:58+00:00
4,WilliamsRuto,"General Service Unit Passing out Parade, Embakasi, Nairobi County. https://t.co/qvwdYwcPKT",233,40,2023-01-12 07:58:07+00:00
5,WilliamsRuto,"General Service Unit Passing out Parade, Embakasi, Nairobi County. https://t.co/hHRmTVXGbG",233,37,2023-01-12 07:49:56+00:00
6,WilliamsRuto,"General Service Unit Passing out Parade, Embakasi, Nairobi County. https://t.co/nL0TTTlaOt",248,34,2023-01-12 07:24:25+00:00
7,WilliamsRuto,"General Service Unit Passing out Parade, Embakasi, Nairobi County. https://t.co/46qOC6Slrk",549,68,2023-01-12 06:55:59+00:00
8,WilliamsRuto,"General Service Unit Passing out Parade, Embakasi, Nairobi County. https://t.co/Uuli7UHQ8D",520,84,2023-01-12 06:27:39+00:00
9,WilliamsRuto,"Ongoing Administration Police Passing out Parade, Embakasi, Nairobi County. https://t.co/0dyLUt12A0",2492,225,2023-01-11 09:03:09+00:00
10,WilliamsRuto,"Administration Police Passing out Parade, Embakasi, Nairobi County. https://t.co/21AZ3I9cOG",737,121,2023-01-11 07:45:38+00:00
11,WilliamsRuto,"During the pass-out parade at the Kenya Police Training College in Kiganjo, Nyeri County. https://t.co/1BWlM9NUVi",264,28,2023-01-10 21:31:33+00:00
12,WilliamsRuto,the government is enhancing its investment in the National Forensic Laboratory to ensure that it has the necessary modern equipment and facilities to conclude complex investigations and significantly improve the success rate in supporting the prosecution of criminals. https://t.co/ExRvOtACaC,267,30,2023-01-10 21:31:32+00:00
13,WilliamsRuto,"To optimize the crime-solving capabilities of a modern, professional and efficient police service, https://t.co/Wrr9CMdoty",1103,106,2023-01-10 21:31:31+00:00
